DOI,title,author,year,times_seen
10.1097/inf.0b013e3182a743c7,Population Pharmacokinetics of Piperacillin/Tazobactam in Critically Ill Young Children,Cies,2013,2
10.1186/s13054-015-1151-y,Can physicochemical properties of antimicrobials be used to predict their pharmacokinetics during extracorporeal membrane oxygenation? Illustrative data from ovine models,Shekar,2015,2
10.1086/668439,Infections Acquired by Adults Who Receive Extracorporeal Membrane Oxygenation Risk Factors and Outcome,Aubron,2012,1
10.1016/j.ijid.2021.05.044,Comparison of piperacillin plasma concentrations in a prospective randomised trial of extended infusion versus intermittent bolus of piperacillin/tazobactam in paediatric patients,Chongcharoenyanon,2021,4
10.1128/aac.48.12.4718-4724.2004,Pharmacodynamic Profiling of Piperacillin in the Presence of Tazobactam in Patients through the Use of Population Pharmacokinetic Models and Monte Carlo Simulation,Lodise,2004,1
10.1592/phco.22.8.569.33209,Pharmacokinetic and Pharmacodynamic Evaluation of Two Dosing Regimens for Piperacillin-Tazobactam,Kim,2004,1
10.5863/1551-6776-19.4.262,Developmental Pharmacokinetics in Pediatric Populations,Lu,2020,6
10.1046/j.1528-1157.43.s.3.5.x,Children Versus Adults: Pharmacokinetic and Adverse-Effect Differences,Anderson,2003,1
10.1111/j.1528-1157.1994.tb02546.x,Severe Hepatotoxicity During Valproate Therapy: An Update and Report of Eight New Fatalities,Konig,2005,1
10.1111/j.1528-1157.1979.tb04853.x,Stupor Following Administration of Valproic Acid to Patients Receiving Other Antiepileptic Drugs,Sackellares,2007,1
10.1016/j.ijantimicag.2016.09.010,Pharmacokinetics/pharmacodynamics of colistin and polymyxin B: are we there yet?,Tran,2016,4
10.1086/516284,State‐of‐the‐Art Clinical Article: Pharmacokinetic/Pharmacodynamic Parameters: Rationale for Antibacterial Dosing of Mice and Men,Craig,2007,3
10.2165/00003088-200645080-00001,Antibacterial Dosing in Intensive Care,Roberts,2006,2
10.1128/aac.46.5.1475-1480.2002,Intrapulmonary Pharmacokinetics of Linezolid,Conte,2002,1
10.1128/aac.40.7.1617,"Single-dose intrapulmonary pharmacokinetics of azithromycin, clarithromycin, ciprofloxacin, and cefuroxime in volunteer subjects",Conte,2018,1
10.1002/jcph.566,Ceftolozane/tazobactam pharmacokinetic/pharmacodynamic‐derived dose justification for phase 3 studies in patients with nosocomial pneumonia,Xiao,2015,3
10.1128/aac.00049-14,"Multicenter, Double-Blind, Randomized, Phase II Trial To Assess the Safety and Efficacy of Ceftolozane-Tazobactam plus Metronidazole Compared with Meropenem in Adult Patients with Complicated Intra-Abdominal Infections",Lucasti,2014,1
10.1016/j.clinthera.2008.04.019,"Efficacy and tolerability of IV doripenem versus meropenem in adults with complicated intra-abdominal infection: A phase III, prospective, multicenter, randomized, double-blind, noninferiority study",Lucasti,2008,1
10.2165/00003495-200565120-00002,Critical Issues in the Clinical Management of Complicated Intra-Abdominal Infections,Blot,2006,1
10.1097/00075198-200104000-00010,Diagnosis of intra-abdominal infection in the critically ill patient,Evans,2003,1
10.1097/00000658-199607000-00003,Management of Secondary Peritonitis,Wittmann,2003,1
10.1128/cmr.05041-11,Combination Therapy for Treatment of Infections with Gram-Negative Bacteria,Tamma,2012,3
10.1128/aac.25.4.534,In vitro synergistic activities of aminoglycosides and new beta-lactams against multiresistant Pseudomonas aeruginosa,Giamarellou,2012,1
10.1097/ccm.0b013e31816f7cf7,Outcomes and long-term quality-of-life of patients supported by extracorporeal membrane oxygenation for refractory cardiogenic shock*,Combes,2009,1
10.1016/s0003-4975(00)02620-5,The use of extracorporeal life support in adult patients with primary cardiac failure as a bridge to implantable left ventricular assist device,Pagani,2002,1
10.1097/00002480-199609000-00103,Extracorporeal Life Support for Cardiovascular Support in Adults,KOLLA,2006,1
10.1093/cid/cis545,Does the Piperacillin Minimum Inhibitory Concentration for Pseudomonas aeruginosa Influence Clinical Outcomes of Children With Pseudomonal Bacteremia?,Tamma,2012,2
10.1128/aac.04402-14,Plasma and Epithelial Lining Fluid Pharmacokinetics of Ceftolozane and Tazobactam Alone and in Combination in Mice,Melchers,2015,1
10.1016/j.ijantimicag.2014.04.017,"In vivo efficacy of ceftolozane against Pseudomonas aeruginosa in a rabbit experimental model of pneumonia: Comparison with ceftazidime, piperacillin/tazobactam and imipenem",Bretonnière,2014,3
10.1093/jac/dkq143,Anti-biofilm and resistance suppression activities of CXA-101 against chronic respiratory infection phenotypes of Pseudomonas aeruginosa strain PAO1,Riera,2010,1
10.1093/jac/dkp193,Activity of cephalosporin CXA-101 (FR264205) and comparators against extended-spectrum- -lactamase-producing Pseudomonas aeruginosa,Giske,2009,1
10.1128/aac.49.9.3743-3748.2005,"BEL-1, a Novel Clavulanic Acid-Inhibited Extended-Spectrum β-Lactamase, and the Class 1 Integron In120 in
            <i>Pseudomonas aeruginosa</i>",Poirel,2005,1
10.1111/j.1574-6968.2004.tb09535.x,Novel GES/IBC extended-spectrum Î²-lactamase variants with carbapenemase activity in clinical enterobacteria,Vourli,2006,1
10.1128/aac.46.4.1053-1058.2002,"<i>bla</i>
            <sub>VIM-2</sub>
            Cassette-Containing Novel Integrons in Metallo-β-Lactamase-Producing
            <i>Pseudomonas aeruginosa</i>
            and
            <i>Pseudomonas putida</i>
            Isolates Disseminated in a Korean Hospital",Lee,2002,1
10.1128/jcm.33.9.2233-2239.1995,Interpreting chromosomal DNA restriction patterns produced by pulsed-field gel electrophoresis: criteria for bacterial strain typing,Tenover,2020,1
10.1186/s13054-017-1856-1,Cefepime-induced neurotoxicity: a systematic review,Payne,2017,4
10.1186/cc8941,Prospective monitoring of cefepime in intensive care unit adult patients,Chapuis,2010,2
10.1055/s-2008-1073024,"The Metabolization of Carbamazepine to CBZ-10,11-Epoxide in Children from the Newborn Age to Adolescence",Korinthenberg,2008,1
10.1128/aac.38.10.2480,Efficacies of different vancomycin dosing regimens against Staphylococcus aureus determined with a dynamic in vitro model,Duffull,2012,1
10.1128/aac.46.2.566-569.2002,"Integron-Located
            <i>oxa-32</i>
            Gene Cassette Encoding an Extended-Spectrum Variant of OXA-2 β-Lactamase from
            <i>Pseudomonas aeruginosa</i>",Poirel,2002,1
10.1128/aac.45.2.447-453.2001,"OXA-28, an Extended-Spectrum Variant of OXA-10 β-Lactamase from
            <i>Pseudomonas aeruginosa</i>
            and Its Plasmid- and Integron-Located Gene",Poirel,2002,1
10.1093/jac/dkt523,"An international, multicentre survey of  -lactam antibiotic therapeutic drug monitoring practice in intensive care units",Wong,2014,2
10.1016/j.ijantimicag.2012.06.022,Quantification of seven β-lactam antibiotics and two β-lactamase inhibitors in human plasma using a validated UPLC-MS/MS method,Carlier,2012,1
10.1002/jssc.200600081,Development of a validated HPLC method for the determination of four penicillin antibiotics in pharmaceuticals and human biological fluids,Samanidou,2006,1
10.1016/s0021-9673(01)89539-x,Precolumn derivatization technique for high-performance liquid chromatographic determination of penicillins with fluorescence detection,Iwaki,2002,1
10.1021/ac00121a066,Liquid chromatographic determination of penicillins by postcolumn degradation with sodium hypochlorite,Haginaka,2005,1
10.1592/phco.30.12.1279,"Resurgence of Colistin: A Review of Resistance, Toxicity, Pharmacodynamics, and Dosing",Lim,2010,4
10.1016/j.clinthera.2008.01.015,"Colistin serum concentrations after intravenous administration in critically ill patients with serious multidrug-resistant, gram-negative bacilli infections: A prospective, open-label, uncontrolled study",Markou,2008,1
10.1016/j.ijantimicag.2005.10.012,In vitro activities of non-traditional antimicrobials alone or in combination against multidrug-resistant strains of Pseudomonas aeruginosa and Acinetobacter baumannii isolated from intensive care units,TIMURKAYNAK,2006,1
10.1111/j.1528-1157.1975.tb04738.x,Sodium Di-N-Propylacetate (DPA) in the Treatment of Epilepsy:A Review,Simon,2007,1
10.1016/0013-4694(58)90068-3,Effects of systemically administered ω-amino and guanidino acids on spontaneous and evoked cortical activity in regions of blood-brain barrier destruction,Purpura,2003,1
10.1016/s0021-9258(19)50930-9,IDENTIFICATION OF γ-AMINOBUTYRIC ACID IN BRAIN BY THE ISOTOPE DERIVATIVE METHOD,Udenfriend,2021,1
10.1021/ja01158a027,Determination of Organic Compounds as Isotopic Derivatives.<sup>1</sup> II. Amino Acids by Paper Chomatographic and Indicator Techniques<sup>2</sup>,Keston,2005,1
10.1128/aac.05005-11,Pharmacodynamics of β-Lactamase Inhibition by NXL104 in Combination with Ceftaroline: Examining Organisms with Multiple Types of β-Lactamases,Louie,2011,1
