parent.title,parent.authors,parent.year,parent.doi,child.author,child.year,child.doi
Combatting the Rising Tide of Antimicrobial Resistance: Pharmacokinetic/Pharmacodynamic Dosing Strategies for Maximal Precision,Chua,2021,10.1016/j.ijantimicag.2020.106269,Zamoner,2019,10.1111/1440-1681.13066
"Vancomycin dosing, monitoring and toxicity: Critical review of the clinical practice",Zamoner,2019,10.1111/1440-1681.13066,DiMondi,2013,10.1345/aph.1R420
Review of continuous-infusion vancomycin,DiMondi,2013,10.1345/aph.1R420,Moise-Broder,2004,10.2165/00003088-200443130-00005
Review of continuous-infusion vancomycin,DiMondi,2013,10.1345/aph.1R420,Kullar,2011,10.1093/cid/cir124
"Vancomycin dosing, monitoring and toxicity: Critical review of the clinical practice",Zamoner,2019,10.1111/1440-1681.13066,Moise-Broder,2004,10.2165/00003088-200443130-00005
"Vancomycin dosing, monitoring and toxicity: Critical review of the clinical practice",Zamoner,2019,10.1111/1440-1681.13066,Song,2015,10.1016/j.ijantimicag.2015.09.010
Impact of area under the concentration–time curve to minimum inhibitory concentration ratio on vancomycin treatment outcomes in methicillin-resistant Staphylococcus aureus bacteraemia,Song,2015,10.1016/j.ijantimicag.2015.09.010,Rybak,2009,10.1592/phco.29.11.1275
"Vancomycin dosing, monitoring and toxicity: Critical review of the clinical practice",Zamoner,2019,10.1111/1440-1681.13066,Men,2016,10.1371/journal.pone.0146224
Association between the AUC0-24/MIC Ratio of Vancomycin and Its Clinical Effectiveness: A Systematic Review and Meta-Analysis,Men,2016,10.1371/journal.pone.0146224,Ampe,2013,10.1016/j.ijantimicag.2013.01.009
"Implementation of a protocol for administration of vancomycin by continuous infusion: pharmacokinetic, pharmacodynamic and toxicological aspects",Ampe,2013,10.1016/j.ijantimicag.2013.01.009,Moise-Broder,2004,10.2165/00003088-200443130-00005
Association between the AUC0-24/MIC Ratio of Vancomycin and Its Clinical Effectiveness: A Systematic Review and Meta-Analysis,Men,2016,10.1371/journal.pone.0146224,Brown,2012,10.1128/AAC.05609-11
Vancomycin AUC24/MIC Ratio in Patients with Complicated Bacteremia and Infective Endocarditis Due to Methicillin-Resistant Staphylococcus aureus and Its Association with Attributable Mortality during Hospitalization,Brown,2012,10.1128/AAC.05609-11,Moise-Broder,2004,10.2165/00003088-200443130-00005
Association between the AUC0-24/MIC Ratio of Vancomycin and Its Clinical Effectiveness: A Systematic Review and Meta-Analysis,Men,2016,10.1371/journal.pone.0146224,Gawronski,2013,10.1016/j.clinthera.2013.05.008
Association between the AUC0-24/MIC Ratio of Vancomycin and Its Clinical Effectiveness: A Systematic Review and Meta-Analysis,Men,2016,10.1371/journal.pone.0146224,Ghosh,2014,10.1111/1469-0691.12695
Association between the AUC0-24/MIC Ratio of Vancomycin and Its Clinical Effectiveness: A Systematic Review and Meta-Analysis,Men,2016,10.1371/journal.pone.0146224,Holmes,2013,10.1128/aac.01485-12
Association between the AUC0-24/MIC Ratio of Vancomycin and Its Clinical Effectiveness: A Systematic Review and Meta-Analysis,Men,2016,10.1371/journal.pone.0146224,Jung,2014,10.1016/j.ijantimicag.2013.10.017
Area under the concentration-time curve to minimum inhibitory concentration ratio as a predictor of vancomycin treatment outcome in methicillin-resistant Staphylococcus aureus bacteraemia,Jung,2014,10.1016/j.ijantimicag.2013.10.017,Moise-Broder,2004,10.2165/00003088-200443130-00005
Association between the AUC0-24/MIC Ratio of Vancomycin and Its Clinical Effectiveness: A Systematic Review and Meta-Analysis,Men,2016,10.1371/journal.pone.0146224,Kullar,2011,10.1093/cid/cir124
Association between the AUC0-24/MIC Ratio of Vancomycin and Its Clinical Effectiveness: A Systematic Review and Meta-Analysis,Men,2016,10.1371/journal.pone.0146224,Moise,2000,10.1093/ajhp/57.suppl_2.S4
Area under the inhibitory curve and a pneumonia scoring system for predicting outcomes of vancomycin therapy for respiratory infections by Staphylococcus aureus,Moise,2000,10.1093/ajhp/57.suppl_2.S4,Lacy,1999,10.1128/aac.43.3.672
Area under the inhibitory curve and a pneumonia scoring system for predicting outcomes of vancomycin therapy for respiratory infections by Staphylococcus aureus,Moise,2000,10.1093/ajhp/57.suppl_2.S4,Forrest,1993,10.1128/AAC.37.5.1073
"Pharmacodynamic Comparisons of Levofloxacin, Ciprofloxacin, and Ampicillin against Streptococcus pneumoniae in an In Vitro Model of Infection",Lacy,1999,10.1128/aac.43.3.672,Forrest,1994,10.1128/AAC.37.5.1074
Association between the AUC0-24/MIC Ratio of Vancomycin and Its Clinical Effectiveness: A Systematic Review and Meta-Analysis,Men,2016,10.1371/journal.pone.0146224,Zelenitsky,2013,10.1016/j.ijantimicag.2012.10.015
"Vancomycin dosing, monitoring and toxicity: Critical review of the clinical practice",Zamoner,2019,10.1111/1440-1681.13066,Rybak,2009,10.1592/phco.29.11.1275
Clinical implications of antibiotic pharmacokinetic principles in the critically ill,Udy,2013,10.1007/s00134-013-3088-4,McKinnon,2008,10.1016/j.ijantimicag.2007.12.009
