DOI,title,author,year,times_seen
10.1097/qco.0000000000000494,How to optimize antibiotic pharmacokinetic/pharmacodynamics for Gram-negative infections in critically ill patients,Heffernan,2018,2
10.1016/j.accpm.2015.12.012,Assessment of the National French recommendations regarding the dosing regimen of 8mg/kg of gentamicin in patients hospitalised in intensive care units,Allou,2016,1
10.1097/ftd.0b013e31818b6b2f,Suboptimal Aminoglycoside Dosing in Critically Ill Patients,Rea,2008,1
10.1034/j.1399-6576.1999.430707.x,Factors affecting gentamicin pharmacokinetics in septic patients,Tang,2003,1
10.1093/jac/dku567,Colistin and doripenem combinations against <i>Pseudomonas aeruginosa</i>: profiling the time course of synergistic killing and prevention of resistance,Ly,2015,5
10.1093/cid/cit152,10 x '20 Progress--Development of New Drugs Active Against Gram-Negative Bacilli: An Update From the Infectious Diseases Society of America,Boucher,2013,1
10.1086/510393,Infectious Diseases Society of America and the Society for Healthcare Epidemiology of America Guidelines for Developing an Institutional Program to Enhance Antimicrobial Stewardship,Dellit,2006,1
10.1086/422647,Predicting Hospital Rates of Fluoroquinolone-Resistant Pseudomonas aeruginosa from Fluoroquinolone Use in US Hospitals and Their Surrounding Communities,Polk,2004,1
10.1086/520193,Surveillance of Antimicrobial Use and Antimicrobial Resistance in United States Hospitals: Project ICARE Phase 2,Fridkin,2007,1
10.1016/s0140-6736(07)61602-x,The Strengthening the Reporting of Observational Studies in Epidemiology (STROBE) statement: guidelines for reporting observational studies,von Elm,2007,1
10.1136/bmj.325.7355.81,What is newsworthy? Longitudinal study of the reporting of medical research in two British newspapers,Bartlett,2002,1
10.1086/520182,Impact of Infectious Diseases Specialists and Microbiological Data on the Appropriateness of Antimicrobial Therapy for Bacteremia,Byl,2008,1
10.1128/aac.04099-14,Two Mechanisms of Killing of Pseudomonas aeruginosa by Tobramycin Assessed at Multiple Inocula via Mechanism-Based Modeling,Bulitta,2015,8
10.2165/00003088-200544020-00005,Pharmacokinetic/Pharmacodynamic Modelling of Antibacterials In Vitro and In Vivo Using Bacterial Growth and Kill Kinetics,Mouton,2006,1
10.1002/jps.2600751108,A Pharmacodynamic Model for the Activity of Antibiotics Against Microorganisms under Nonsaturable Conditions,Zhi,2006,1
10.1007/bf01062346,A pharmacodynamic model for cell-cycle-specific chemotherapeutic agents,Jusko,2005,1
10.1111/j.1749-6632.1971.tb46989.x,MATHEMATICAL SIMULATION IN CHEMOTHERAPY,Werkheiser,2006,1
10.1128/jb.104.3.1223-1229.1970,"Kinetics of Allosteric Inhibition In Vivo: a Quantitative Analysis with Synchronous Cultures of
            <i>Blastocladiella emersonii</i>",Smith,2020,1
10.1146/annurev.bi.37.070168.002043,The Catalytic and Regulatory Properties of Enzymes,Koshland,2003,1
10.1186/1471-2334-14-288,How do we use therapeutic drug monitoring to improve outcomes from severe infections in critically ill patients?,Wong,2014,1
10.1093/jac/dkr442,Continuous versus intermittent infusion of vancomycin for the treatment of Gram-positive infections: systematic review and meta-analysis,Cataldo,2011,1
10.1128/jcm.42.6.2398-2402.2004,"Relationship of MIC and Bactericidal Activity to Efficacy of Vancomycin for Treatment of Methicillin-Resistant
            <i>Staphylococcus aureus</i>
            Bacteremia",Sakoulas,2004,1
10.1093/cid/cit334,Population Pharmacokinetics of Intravenous Polymyxin B in Critically Ill Patients: Implications for Selection of Dosage Regimens,Sandri,2013,4
10.1128/aac.47.5.1766-1770.2003,Use of High-Performance Liquid Chromatography To Study the Pharmacokinetics of Colistin Sulfate in Rats following Intravenous Administration,Li,2003,1
10.1016/s0378-4347(01)00326-7,"A simple method for the assay of colistin in human plasma, using pre-column derivatization with 9-fluorenylmethyl chloroformate in solid-phase extraction cartridges and reversed-phase high-performance liquid chromatography",Li,2002,2
10.1016/s0021-9673(00)88926-8,Analytical and preparative methods for polymyxin antibiotics using high-performance liquid chromatography with a porous styrene-divinyllbenzene copolymer packing,Kimura,2002,1
10.7164/antibiotics.22.449,"POLYMYXIN P, NEW ANTIBIOTICS OF POLYMYXIN GROUP",KIMURA,2012,1
10.1016/s0021-9673(00)90888-4,"Quantitative high-pressure liquid chromatographic analysis of bacitracin, a polypeptide antibiotic",Tsuji,2002,1
10.1042/bj0530597,Some properties of the bacitracin polypeptides,Newton,2015,1
10.1111/imj.12036,Vancomycin therapeutics and monitoring: a contemporary approach,Avent,2012,1
10.1016/j.clinthera.2007.06.014,A retrospective analysis of possible renal toxicity associated with vancomycin in patients with health care-associated methicillin-resistant Staphylococcus aureus pneumonia,Jeffres,2007,1
10.1093/jac/32.2.325,Nephrotoxicity of vancomycin and aminoglycoside therapy separately and in combination,Goetz,2007,1
10.1016/j.bmc.2016.11.008,Animal models in the pharmacokinetic/pharmacodynamic evaluation of antimicrobial agents,Zhao,2016,4
10.1093/infdis/139.2.172,Prevention of Pyelonephritis Due to Escherichia coli in Rats with Gentamicin Stored in Kidney Tissue,Glauser,2011,1
10.1016/j.mib.2013.06.010,PK/PD models in antibacterial development,Velkov,2013,3
10.1007/bf01710009,Urinary tract infections in the 90s: Pathogenesis and management,Andriole,2005,1
10.1001/jama.1980.03310060017014,Single-Dose Amoxicillin Therapy for Urinary Tract Infection,Rubin,2011,1
10.2307/2528132,The Spectrum of a Linear Network: A Simple Approach to the n Compartment Problem,Turner,2006,1
10.1111/1440-1681.13066,"Vancomycin dosing, monitoring and toxicity: Critical review of the clinical practice",Zamoner,2019,3
10.1016/j.ijantimicag.2017.08.012,"Dose, duration, and animal sex predict vancomycin-associated acute kidney injury in preclinical studies",O'Donnell,2017,2
10.1128/aac.01568-12,Systematic Review and Meta-Analysis of Vancomycin-Induced Nephrotoxicity Associated with Dosing Schedules That Maintain Troughs between 15 and 20 Milligrams per Liter,van Hal,2012,1
10.1016/j.tiv.2004.03.013,Proliferative responses observed following vancomycin treatment in renal proximal tubule epithelial cells,King,2004,1
10.1016/s0022-2143(98)90161-5,Purinergic receptors mediate cell proliferation and enhanced recovery from renal ischemia by adenosine triphosphate,Paller,2004,1
10.1007/bf02634137,Purine nucleosides and nucleotides stimulate proliferation of a wide range of cell types,Rathbone,2007,1
10.1111/j.1471-4159.1987.tb03419.x,"Extracellular Adenosine, Inosine, Hypoxanthine, and Xanthine in Relation to Tissue Nucleotides and Purines in Rat Striatum During Transient Ischemia",Hagberg,2006,2
10.1111/j.1528-1157.1985.tb05684.x,Is Adenosine an Endogenous Anticonvulsant?,Dragunow,2007,1
10.1128/aac.00483-18,Personalizing Polymyxin B Dosing Using an Adaptive Feedback Control Algorithm,Lakota,2018,4
10.1111/cts.12490,"Precision Dosing: Public Health Need, Proposed Framework, and Anticipated Impact",Gonzalez,2017,1
10.1128/aac.02025-12,Software for Dosage Individualization of Voriconazole for Immunocompromised Patients,Hope,2013,1
10.1128/aac.50.4.1570-1572.2006,Voriconazole Therapeutic Drug Monitoring,Smith,2006,1
10.1046/j.1365-2125.2003.01993.x,"Voriconazole, a novel wide-spectrum triazole: oral pharmacokinetics and safety",Purkins,2003,1
10.1002/jcph.705,Pharmacometric Approaches to Personalize Use of Primarily Renally Eliminated Antibiotics in Preterm and Term Neonates,Wilbaux,2016,6
10.5414/cpp49247,Getting the dose of vancomycin right in the neonate,Anker,2011,1
10.1161/01.res.35.2.262,Release of Adenosine from Ischemic Brain,BERNE,2012,1
10.1128/cmr.05041-11,Combination Therapy for Treatment of Infections with Gram-Negative Bacteria,Tamma,2012,6
10.1001/archsurg.1988.01400260032002,Treatment of Severe Intra-abdominal Sepsis and/or Necrotic Foci by an 'Open-Abdomen' Approach,Garcia-Sabrido,2011,1
10.1016/s0924-8579(02)00022-5,Animal model pharmacokinetics and pharmacodynamics: a critical review,Andes,2002,5
10.1093/infdis/158.1.200,Evidence for a Slow Elimination Phase for Penicillin G,Ebert,2011,1
10.1093/jac/dkw293,"Polymyxin B in combination with doripenem against heteroresistant
            <i>Acinetobacter baumannii</i>
            : pharmacodynamics of new dosing strategies",Rao,2016,6
10.1093/jac/dks437,Pharmacokinetics of polymyxin B in patients on continuous venovenous haemodialysis,Sandri,2012,1
10.1093/jac/dkq226,fAUC/MIC is the most predictive pharmacokinetic/pharmacodynamic index of colistin against Acinetobacter baumannii in murine thigh and lung infection models,Dudhani,2010,1
10.1128/aac.00035-06,"Colistin Methanesulfonate Is an Inactive Prodrug of Colistin against
            <i>Pseudomonas aeruginosa</i>",Bergen,2006,2
10.1111/j.1469-0691.2005.01076.x,Development of a novel assay method for colistin sulphomethate,Wootton,2005,1
10.1183/09031936.98.12030592,Four years' experience of intravenous colomycin in an adult cystic fibrosis unit,Ledson,2002,1
10.1093/jac/dkx209,Too much of a good thing: a retrospective study of β-lactam concentration–toxicity relationships,Imani,2017,1
10.1038/clpt.2011.58,Case Definition and Phenotype Standardization in Drug-Induced Liver Injury,Aithal,2011,1
10.1002/hep.1840030510,Relapse Following Treatment Withdrawal in Patients with Autoimmune Chronic Active Hepatitis,Hegarty,2010,1
10.1016/s0140-6736(73)92125-9,CONTROLLED TRIAL OF PREDNISONE AND AZATHIOPRINE IN ACTIVE CHRONIC HEPATITIS,Murray-Lyon,2004,1
10.1093/oxfordjournals.qjmed.a067264,Controlled Prospective Trial of Corticosteroid Therapy in Active Chronic Hepatitis,COOK,2015,1
10.1093/infdis/158.1.7,"Single, Large, Daily Dosing Versus Intermittent Dosing of Tobramycin for Treating Experimental Pseudomonas Pneumonia",Kapusnik,2011,1
10.1001/jama.1978.03290180037019,Staphylococcus aureus Endocarditis,Faville,2011,1
10.1128/aac.01707-09,Colistin Dosing and Nephrotoxicity in a Large Community Teaching Hospital,DeRyke,2010,1
10.1016/s1473-3099(06)70580-1,Colistin: the re-emerging antibiotic for multidrug-resistant Gram-negative bacterial infections,Li,2006,1
10.1191/1479972305cd045rs,Nebulized antibiotic therapy: the evidence,Conway,2005,1
10.1378/chest.116.3.775,Use of Aerosolized Antibiotics in Patients With Cystic Fibrosis,Campbell,2003,1
10.4172/2167-1052.s1-007,The Hollow Fiber Infection Model for Antimicrobial Pharmacodynamics and Pharmacokinetics,J.S. Cadwell,2013,2
10.1093/jac/dkw355,High-intensity meropenem combinations with polymyxin B: new strategies to overcome carbapenem resistance in<i>Acinetobacter baumannii</i>,Lenhard,2016,6
10.1038/nrd2201,Drugs for bad bugs: confronting the challenges of antibacterial discovery,Payne,2006,1
10.1126/science.1106753,"A Diarylquinoline Drug Active on the ATP Synthase of
            <i>Mycobacterium tuberculosis</i>",Andries,2004,1
10.1016/s0960-894x(03)00074-x,Substituted 4-methylquinolines as a new class of anti-tuberculosis agents,Jain,2003,1
10.1021/jo00354a026,"A general, selective, and convenient procedure of homolytic formylation of heteroaromatic bases",Giordano,2005,1
10.1128/cmr.18.4.657-686.2005,Extended-Spectrum β-Lactamases: a Clinical Update,Paterson,2005,1
10.1093/jac/43.1.79,Pharmacodynamics of levofloxacin and ciprofloxacin against Streptococcus pneumoniae,Lister,2002,3
10.1093/jac/31.2.273,"Susceptibility of 170 penicillin-susceptible and penicillin-resistant pneumococci to six oral cephalosporins, four quinolones, desacetylcefotaxime, Ro 23-9424 and RP 67829",Spangler,2007,1
