"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"2KXNRJHV","journalArticle","2017","Kovanda, Laura L.; Kolamunnage-Dona, Ruwanthi; Neely, Michael; Maertens, Johan; Lee, Misun; Hope, William W.","Pharmacodynamics of Isavuconazole for Invasive Mold Disease: Role of Galactomannan for Real-Time Monitoring of Therapeutic Response","Clinical Infectious Diseases","","1058-4838, 1537-6591","10.1093/cid/cix198","https://academic.oup.com/cid/article/64/11/1557/3788535","Background.  The ability to make early therapeutic decisions when treating invasive aspergillosis using changes in biomarkers as a surrogate for therapeutic response could significantly improve patient outcome. Methods.  Cox proportional hazards model and logistic regression were used to correlate early changes in galactomannan index (GMI) to mortality and overall response, respectively, from patients with positive baseline GMI (≥0.5) and serial GMI during treatment from a phase 3 clinical trial for the treatment of invasive mold disease. Pharmacokinetic/pharmacodynamic (PK/PD) analysis in patients with isavuconazole plasma concentrations was conducted to establish the exposure necessary for GMI negativity at the end of therapy. Results.  The study included 158 patients overall and 78 isavuconazole patients in the PK/PD modeling. By day 7, GMI increases of >0.25 units from baseline (3/130 survivors; 9/28 who died) significantly increased the risk of death compared to those with no increase or increases <0.25 (hazard ratio, 9.766; 95% confidence interval [CI], 4.356–21.9; P < .0001). For each unit decrease by day 7 from baseline, the odds of successful therapy doubled (odds ratio, 2.154; 95% CI, 1.173–3.955). An area under the concentration-versus-time curve over half-maximal effective concentration (AUC:EC50) of 108.6 is estimated to result in a negative GMI at the end of isavuconazole therapy. Conclusions.  Early trends in GMI are highly predictive of patient outcome. GMI increases by day 7 could be considered in context of clinical signs to trigger changes in treatment, once validated. Our data suggest that this improves survival by 10-fold and positive outcome by 3-fold. These data have important implications for individualized therapy for patients and clinical trials.","2017-06-01","2021-10-14 10:42:31","2021-12-14 16:24:32","2021-11-01 15:12:45","1557-1563","","11","64","","","Pharmacodynamics of Isavuconazole for Invasive Mold Disease","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/agerada/Library/Mobile Documents/com~apple~CloudDocs/Zotero/Journal Article/Kovanda et al_2017_Pharmacodynamics of Isavuconazole for Invasive Mold Disease2.pdf; /Users/agerada/Library/Mobile Documents/com~apple~CloudDocs/Zotero/Journal Article/Kovanda et al_2017_Pharmacodynamics of Isavuconazole for Invasive Mold Disease.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VYVGFLY4","journalArticle","2021","McComb, Mason; Bies, Robert; Ramanathan, Murali","Machine learning in pharmacometrics: Opportunities and challenges","British Journal of Clinical Pharmacology","","0306-5251, 1365-2125","10.1111/bcp.14801","https://onlinelibrary.wiley.com/doi/10.1111/bcp.14801","","2021-03-17","2021-10-15 15:35:43","2021-12-14 16:24:20","2021-11-01 13:43:57","bcp.14801","","","","","Brit Jnl Clinical Pharma","Machine learning in pharmacometrics","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/agerada/Library/Mobile Documents/com~apple~CloudDocs/Zotero/Journal Article/McComb et al_2021_Machine learning in pharmacometrics.pdf; /Users/agerada/Library/Mobile Documents/com~apple~CloudDocs/Zotero/Journal Article/McComb et al_2021_Machine learning in pharmacometrics2.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5S4RGXXL","journalArticle","2021","Lu, James; Bender, Brendan; Jin, Jin Y.; Guan, Yuanfang","Deep learning prediction of patient response time course from early data via neural-pharmacokinetic/pharmacodynamic modelling","Nature Machine Intelligence","","2522-5839","10.1038/s42256-021-00357-4","https://www.nature.com/articles/s42256-021-00357-4","","2021-08","2021-10-15 09:32:22","2021-12-14 16:24:14","2021-11-01 12:05:14","696-704","","8","3","","Nat Mach Intell","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/agerada/Library/Mobile Documents/com~apple~CloudDocs/Zotero/Journal Article/Lu et al_2021_Deep learning prediction of patient response time course from early data via.pdf; /Users/agerada/Library/Mobile Documents/com~apple~CloudDocs/Zotero/Journal Article/Lu et al_2021_Deep learning prediction of patient response time course from early data via3.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4SXBGCJ9","journalArticle","2019","Hutchinson, Lucy; Steiert, Bernhard; Soubret, Antoine; Wagg, Jonathan; Phipps, Alex; Peck, Richard; Charoin, Jean‐Eric; Ribba, Benjamin","Models and Machines: How Deep Learning Will Take Clinical Pharmacology to the Next Level","CPT: Pharmacometrics & Systems Pharmacology","","2163-8306, 2163-8306","10.1002/psp4.12377","https://onlinelibrary.wiley.com/doi/10.1002/psp4.12377","","2019-03","2021-11-08 11:52:05","2021-11-08 11:52:05","2021-11-08 11:52:05","131-134","","3","8","","CPT Pharmacometrics Syst. Pharmacol.","Models and Machines","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/agerada/Library/Mobile Documents/com~apple~CloudDocs/Zotero/Journal Article/Hutchinson et al_2019_Models and Machines.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AS43JJ4S","journalArticle","1995","Brier, Michael E.; Zurada, Jacek M.; Aronoff, George R.","Neural network predicted peak and trough gentamicin concentrations","Pharmaceutical Research","","07248741","10.1023/A:1016260720218","http://link.springer.com/10.1023/A:1016260720218","","1995","2021-11-01 14:51:45","2021-11-01 14:52:16","2021-11-01 14:51:45","406-412","","3","12","","","","","","","","","","","","","","","DOI.org (Crossref)","","","","/Users/agerada/Library/Mobile Documents/com~apple~CloudDocs/Zotero/Journal Article/Brier et al_1995_Neural network predicted peak and trough gentamicin concentrations.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"94W7CUEW","journalArticle","2014","Escandell-Montero, Pablo; Chermisi, Milena; Martínez-Martínez, José M.; Gómez-Sanchis, Juan; Barbieri, Carlo; Soria-Olivas, Emilio; Mari, Flavio; Vila-Francés, Joan; Stopper, Andrea; Gatti, Emanuele; Martín-Guerrero, José D.","Optimization of anemia treatment in hemodialysis patients via reinforcement learning","Artificial Intelligence in Medicine","","09333657","10.1016/j.artmed.2014.07.004","https://linkinghub.elsevier.com/retrieve/pii/S0933365714000840","Objective: Anemia is a frequent comorbidity in hemodialysis patients that can be successfully treated by administering erythropoiesis-stimulating agents (ESAs). ESAs dosing is currently based on clinical protocols that often do not account for the high inter- and intra-individual variability in the patient’s response. As a result, the hemoglobin level of some patients oscillates around the target range, which is associated with multiple risks and side-effects. This work proposes a methodology based on reinforcement learning (RL) to optimize ESA therapy. Methods: RL is a data-driven approach for solving sequential decision-making problems that are formulated as Markov decision processes (MDPs). Computing optimal drug administration strategies for chronic diseases is a sequential decision-making problem in which the goal is to ﬁnd the best sequence of drug doses. MDPs are particularly suitable for modeling these problems due to their ability to capture the uncertainty associated with the outcome of the treatment and the stochastic nature of the underlying process. The RL algorithm employed in the proposed methodology is ﬁtted Q iteration, which stands out for its ability to make an efﬁcient use of data. Results: The experiments reported here are based on a computational model that describes the effect of ESAs on the hemoglobin level. The performance of the proposed method is evaluated and compared with the well-known Q-learning algorithm and with a standard protocol. Simulation results show that the performance of Q-learning is substantially lower than FQI and the protocol. When comparing FQI and the protocol, FQI achieves an increment of 27.6% in the proportion of patients that are within the targeted range of hemoglobin during the period of treatment. In addition, the quantity of drug needed is reduced by 5.13%, which indicates a more efﬁcient use of ESAs. Conclusion: Although prospective validation is required, promising results demonstrate the potential of RL to become an alternative to current protocols.","2014-09","2021-11-01 14:41:47","2021-11-01 14:41:47","2021-11-01 14:41:47","47-60","","1","62","","Artificial Intelligence in Medicine","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/agerada/Library/Mobile Documents/com~apple~CloudDocs/Zotero/Journal Article/Escandell-Montero et al_2014_Optimization of anemia treatment in hemodialysis patients via reinforcement.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SLWBPY8L","journalArticle","2020","Ribba, Benjamin; Dudal, Sherri; Lavé, Thierry; Peck, Richard W.","Model‐Informed Artificial Intelligence: Reinforcement Learning for Precision Dosing","Clinical Pharmacology & Therapeutics","","0009-9236, 1532-6535","10.1002/cpt.1777","https://onlinelibrary.wiley.com/doi/10.1002/cpt.1777","","2020-04","2021-11-01 13:43:52","2021-11-01 13:43:52","2021-11-01 13:43:52","853-857","","4","107","","Clin. Pharmacol. Ther.","Model‐Informed Artificial Intelligence","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/agerada/Library/Mobile Documents/com~apple~CloudDocs/Zotero/Journal Article/Ribba et al_2020_Model‐Informed Artificial Intelligence.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NDRTWC7F","journalArticle","","Chen, Tian Qi; Rubanova, Yulia; Bettencourt, Jesse; Duvenaud, David K","Neural Ordinary Differential Equations","","","","","","We introduce a new family of deep neural network models. Instead of specifying a discrete sequence of hidden layers, we parameterize the derivative of the hidden state using a neural network. The output of the network is computed using a blackbox differential equation solver. These continuous-depth models have constant memory cost, adapt their evaluation strategy to each input, and can explicitly trade numerical precision for speed. We demonstrate these properties in continuous-depth residual networks and continuous-time latent variable models. We also construct continuous normalizing ﬂows, a generative model that can train by maximum likelihood, without partitioning or ordering the data dimensions. For training, we show how to scalably backpropagate through any ODE solver, without access to its internal operations. This allows end-to-end training of ODEs within larger models.","","2021-11-01 12:27:12","2021-11-01 12:27:12","","12","","","","","","","","","","","","","en","","","","","Zotero","","","","/Users/agerada/Library/Mobile Documents/com~apple~CloudDocs/Zotero/Journal Article/Chen et al_Neural Ordinary Differential Equations.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5N4W8MGD","journalArticle","2017","Comets, Emmanuelle; Lavenu, Audrey; Lavielle, Marc","Parameter Estimation in Nonlinear Mixed Effect Models Using <b>saemix</b> , an <i>R</i> Implementation of the SAEM Algorithm","Journal of Statistical Software","","1548-7660","10.18637/jss.v080.i03","http://www.jstatsoft.org/v80/i03/","The saemix package for R provides maximum likelihood estimates of parameters in nonlinear mixed eﬀect models, using a modern and eﬃcient estimation algorithm, the stochastic approximation expectation maximisation (SAEM) algorithm. In the present paper we describe the main features of the package, and apply it to several examples to illustrate its use. Making use of S4 classes and methods to provide user-friendly interaction, this package provides a new estimation tool to the R community.","2017","2021-11-01 12:06:06","2021-11-01 12:06:06","2021-11-01 12:06:06","","","3","80","","J. Stat. Soft.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/agerada/Library/Mobile Documents/com~apple~CloudDocs/Zotero/Journal Article/Comets et al_2017_Parameter Estimation in Nonlinear Mixed Effect Models Using bsaemix-b , an.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IAI5MMJ9","journalArticle","2016","Sandoval Parra, Mayra A.; Rincon Pabon, Juan P.; Meesters, Roland J.W.","Bioanalytical evaluation of dried plasma spot microsampling methodologies in pharmacokinetic studies applying Acetaminophen as model drug","Journal of Applied Bioanalysis","","2405710X","10.17145/jab.16.005","https://betasciencepress-publishing.com/10-17145/fulltext/jab/bioanalytical-evaluation-of-dried-plasma-spot-microsampling-methodologies-in-pharmacokinetic-studies-applying-acetaminophen-as-model-drug/","","2016-01-13","2021-10-28 10:01:30","2021-10-28 10:01:30","2021-10-28 10:01:30","25-37","","1","2","","J Appl Bioanal","","","","","","","","","","","","","DOI.org (Crossref)","","","","/Users/agerada/Zotero/storage/W65EW6S8/one_compartment.png; /Users/agerada/Library/Mobile Documents/com~apple~CloudDocs/Zotero/Journal Article/Sandoval Parra et al_2016_Bioanalytical evaluation of dried plasma spot microsampling methodologies in.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
