parent.title,parent.authors,parent.year,parent.doi,child.author,child.year,child.doi
Beta-Lactams Therapeutic Monitoring in Septic Children-What Target Are We Aiming for? A Scoping Review,Morales,2022,10.3389/fped.2022.777854,De,2015,10.1128/AAC.01368-15
Augmented renal clearance implies a need for increased amoxicillin-clavulanic acid dosing in critically ill children,De,2015,10.1128/AAC.01368-15,Haeseker,2014,10.1186/2050-6511-15-38
Augmented renal clearance implies a need for increased amoxicillin-clavulanic acid dosing in critically ill children,De,2015,10.1128/AAC.01368-15,Roberts,2014,NA
Beta-Lactams Therapeutic Monitoring in Septic Children-What Target Are We Aiming for? A Scoping Review,Morales,2022,10.3389/fped.2022.777854,Mir,2020,10.1136/archdischild-2019-317342
Beta-Lactams Therapeutic Monitoring in Septic Children-What Target Are We Aiming for? A Scoping Review,Morales,2022,10.3389/fped.2022.777854,Ericson,2020,10.1097/INF.0000000000002663
Beta-Lactams Therapeutic Monitoring in Septic Children-What Target Are We Aiming for? A Scoping Review,Morales,2022,10.3389/fped.2022.777854,Leroux,2016,10.1128/AAC.01045-16
Beta-Lactams Therapeutic Monitoring in Septic Children-What Target Are We Aiming for? A Scoping Review,Morales,2022,10.3389/fped.2022.777854,Beranger,2018,10.1007/s40262-017-0602-9
Population Pharmacokinetic Model to Optimize Cefotaxime Dosing Regimen in Critically Ill Children,Beranger,2018,10.1007/s40262-017-0602-9,Drusano,2004,10.1038/nrmicro862
Antimicrobial pharmacodynamics: critical interactions of 'bug and drug',Drusano,2004,10.1038/nrmicro862,Craig,1998,10.1086/516284
Pharmacokinetic/Pharmacodynamic Parameters: Rationale for Antibacterial Dosing of Mice and Men,Craig,1998,10.1086/516284,Craig,1995,10.1016/0732-8893(95)00053-D
Pharmacokinetic/Pharmacodynamic Parameters: Rationale for Antibacterial Dosing of Mice and Men,Craig,1998,10.1086/516284,Leggett,1989,10.1093/infdis/159.2.281
Population Pharmacokinetic Model to Optimize Cefotaxime Dosing Regimen in Critically Ill Children,Beranger,2018,10.1007/s40262-017-0602-9,Huttner,2015,10.1093/jac/dkv201
Therapeutic drug monitoring of the _-lactam antibiotics: what is the evidence and which patients should we be using it for?,Huttner,2015,10.1093/jac/dkv201,Wong,2014,10.1093/jac/dkt523
Beta-Lactams Therapeutic Monitoring in Septic Children-What Target Are We Aiming for? A Scoping Review,Morales,2022,10.3389/fped.2022.777854,Hartman,2019,10.1007/s10096-019-03535-w
Target attainment of cefotaxime in critically ill children with meningococcal septic shock as a model for cefotaxime dosing in severe pediatric sepsis,Hartman,2019,10.1007/s10096-019-03535-w,Craig,1995,10.1016/0732-8893(95)00053-D
Target attainment of cefotaxime in critically ill children with meningococcal septic shock as a model for cefotaxime dosing in severe pediatric sepsis,Hartman,2019,10.1007/s10096-019-03535-w,McKinnon,2008,10.1016/j.ijantimicag.2007.12.009
Target attainment of cefotaxime in critically ill children with meningococcal septic shock as a model for cefotaxime dosing in severe pediatric sepsis,Hartman,2019,10.1007/s10096-019-03535-w,Roberts,2009,10.1097/CCM.0b013e3181961bff
Pharmacokinetic issues for antibiotics in the critically ill patient,Roberts,2009,10.1097/CCM.0b013e3181961bff,McKinnon,2008,10.1016/j.ijantimicag.2007.12.009
Pharmacokinetic issues for antibiotics in the critically ill patient,Roberts,2009,10.1097/CCM.0b013e3181961bff,Angus,2000,10.1046/j.1365-2125.2000.00179.x
Pharmacokinetic issues for antibiotics in the critically ill patient,Roberts,2009,10.1097/CCM.0b013e3181961bff,Mouton,1994,10.1128/AAC.38.5.931
Pharmacokinetic issues for antibiotics in the critically ill patient,Roberts,2009,10.1097/CCM.0b013e3181961bff,Roberts,2008,10.1097/CCM.0b013e318180fe62
Antibiotic resistance--what's dosing got to do with it?,Roberts,2008,10.1097/CCM.0b013e318180fe62,Olofsson,2005,10.1128/AAC.49.12.5081-5091.2005
