DOI,title,author,year,times_seen
10.1001/jama.2016.0287,The Third International Consensus Definitions for Sepsis and Septic Shock (Sepsis-3),Singer,2016,1
10.1186/s13054-019-2378-9,Optimization of the treatment with beta-lactam antibiotics in critically ill patients—guidelines from the French Society of Pharmacology and Therapeutics (Société Française de Pharmacologie et Thérapeutique—SFPT) and the French Society of Anaesthesia and Intensive Care Medicine (Société Française d’Anesthésie et Réanimation—SFAR),Guilhaumou,2019,2
10.1345/aph.1g467,Meropenem by Continuous Versus Intermittent Infusion in Ventilator-Associated Pneumonia due to Gram-Negative Bacilli,Lorente,2006,1
10.1177/0091270003257225,Use of Monte Carlo Simulation to Design an Optimized Pharmacodynamic Dosing Strategy for Meropenem,Kuti,2003,1
10.1016/s0732-8893(02)00390-5,Geographic variations in activity of broad-spectrum β-lactams against Pseudomonas aeruginosa: summary of the worldwide SENTRY Antimicrobial Surveillance Program (1997–2000),Jones,2002,1
10.1128/aac.42.7.1762,"Bacterial Pathogens Isolated from Patients with Bloodstream Infection: Frequencies of Occurrence and Antimicrobial Susceptibility Patterns from the SENTRY Antimicrobial Surveillance Program (United States and Canada, 1997)",Pfaller,2018,1
10.1016/0196-6553(91)90157-8,National nosocomial infections surveillance system (NNIS): Description of surveillance methods,Emori,2005,1
10.1017/s0195941700066091,Will the Real Infection Rate Please Stand?,Fuchs,2016,1
10.1017/s0195941700066108,The Impact of Postdischarge Infection on Surgical Wound Infection Rates,Reimer,2016,1
10.1093/oxfordjournals.aje.a113990,THE EFFICACY OF INFECTION SURVEILLANCE AND CONTROL PROGRAMS IN PREVENTING NOSOCOMIAL INFECTIONS IN US HOSPITALS,HALEY,2017,1
10.1046/j.1198-743x.2001.00295.x,Optimisation of antimicrobial therapy using pharmacokinetic and pharmacodynamic parameters,Jacobs,2003,1
10.1016/s0732-8893(96)00135-6,"Results of the Alexander Project: A continuing, multicenter study of the antimicrobial susceptibility of community-acquired lower respiratory tract bacterial pathogens",Grüneberg,2002,2
10.1128/aac.34.11.2075,"Antimicrobial resistance among respiratory isolates of Haemophilus influenzae, Moraxella catarrhalis, and Streptococcus pneumoniae in the United States",Jorgensen,2012,1
10.1007/s40262-017-0602-9,Population Pharmacokinetic Model to Optimize Cefotaxime Dosing Regimen in Critically Ill Children,Béranger,2017,2
10.1007/s40262-018-0682-1,Piperacillin Population Pharmacokinetics and Dosing Regimen Optimization in Critically Ill Children with Normal and Augmented Renal Clearance,Béranger,2018,1
10.1093/cid/cis857,Clinical Outcomes With Extended or Continuous Versus Short-term Intravenous Infusion of Carbapenems and Piperacillin/Tazobactam: A Systematic Review and Meta-analysis,Falagas,2012,1
10.1128/aac.47.11.3442-3447.2003,"Cefepime versus Imipenem-Cilastatin for Treatment of Nosocomial Pneumonia in Intensive Care Unit Patients: a Multicenter, Evaluator-Blind, Prospective, Randomized Study",Zanetti,2003,1
10.1093/jac/28.4.569,A randomized trial of cefepime (BMY-28142) and ceftazidime for the treatment of pneumonia,Edelstein,2007,1
10.1016/s1473-3099(19)30403-7,"Ceftolozane–tazobactam versus meropenem for treatment of nosocomial pneumonia (ASPECT-NP): a randomised, controlled, double-blind, phase 3, non-inferiority trial",Kollef,2019,2
10.1007/s10096-019-03535-w,Target attainment of cefotaxime in critically ill children with meningococcal septic shock as a model for cefotaxime dosing in severe pediatric sepsis,Hartman,2019,1
10.1016/j.ejps.2021.105868,Population pharmacokinetics-pharmacodynamics of ceftazidime in neonates and young infants: Dosing optimization for neonatal sepsis,Li,2021,1
10.1016/j.xphs.2021.02.001,Dosage Adjustment for Ceftazidime in Pediatric Patients With Renal Impairment Using Physiologically Based Pharmacokinetic Modeling,Zhou,2021,1
10.1016/j.xphs.2020.06.010,A Physiologically Based Pharmacokinetic Model of Ertapenem in Pediatric Patients With Renal Impairment,Ye,2020,1
10.1002/jps.24373,Prospective Predictions of Human Pharmacokinetics for Eighteen Compounds,Zhang,2015,1
10.1177/0091270009333209,Prediction of Human Pharmacokinetics From Preclinical Information: Comparative Accuracy of Quantitative Prediction Approaches,Hosea,2009,1
