DOI,author,title,times_seen
10.1097/ccm.0b013e3181961bff,Pharmacokinetic issues for antibiotics in the critically ill patient,Roberts,13
10.1093/infdis/158.4.831,Correlation of Antimicrobial Pharmacokinetic Parameters with Therapeutic Efficacy in an Animal Model,Vogelman,17
10.1097/qco.0000000000000494,How to optimize antibiotic pharmacokinetic/pharmacodynamics for Gram-negative infections in critically ill patients,Heffernan,11
10.1093/jac/31.suppl_d.1,Pharmacokinetics of antibiotics in natural and experimental superficial compartments in animals and humans,Ryan,7
10.1128/aac.42.9.2235,Pharmacokinetic Profiles of High-Dose Intravenous Ciprofloxacin in Severe Sepsis,Lipman,14
10.1177/0091270006291035,Population Pharmacokinetic Analysis and Dosing Regimen Optimization of Meropenem in Adult Patients,Li,9
10.1177/106002809202600101,"Dose-Ranging Pharmacokinetic Study of Ciprofloxacin after 200-, 300-, and 400-mg Intravenous Doses",Nix,9
10.1128/aac.26.2.208,Pharmacokinetics of intravenously administered ciprofloxacin,Wise,11
10.1007/bf01061469,Building population pharmacokineticpharmacodynamic models. I. Models for covariate effects,Mandema,8
10.1016/s0149-2918(04)80001-8,Optimizing antimicrobial pharmacodynamics: dosage strategies for meropenem,Mattoes,4
10.1093/ajhp/60.6.565,Economic benefit of a meropenem dosage strategy based on pharmacodynamic concepts,Kuti,8
10.2165/00003088-200544020-00005,Pharmacokinetic/Pharmacodynamic Modelling of Antibacterials In Vitro and In Vivo Using Bacterial Growth and Kill Kinetics,Mouton,10
10.1002/j.1552-4604.1996.tb04164.x,Pharmacokinetics of Ceftriaxone in Patients Undergoing Continuous Veno-Venous Hemofiltration,Kroh,5
10.1093/infdis/162.3.717,AntibactERial Activity of Four Cephalosporins in an ExpERimental Infection in Relation to In Vitro Effect and Pharmacokinetics,Mattie,9
10.1093/jac/33.4.795,Comparative pharmacokinetics and safety of ciprofloxacin 400 mg iv thrice daily versus 750 mg po twice daily,Shah,11
10.1007/bf02013983,Pharmacokinetics of ciprofloxacin in healthy volunteers after oral and intravenous administration,Borner,3
10.1002/jps.2600751108,A Pharmacodynamic Model for the Activity of Antibiotics Against Microorganisms under Nonsaturable Conditions,Zhi,5
