DOI,author,title,times_seen
10.3109/08982109309150729,"Development, Characterization, Efficacy and Mode of Action of Ambisome, A Unilamellar Liposomal Formulation of Amphotericin B",Adler-moore,2
10.1128/aac.00933-12,Population Pharmacokinetics of Conventional and Intermittent Dosing of Liposomal Amphotericin B in Adults: a First Critical Step for Rational Design of Innovative Regimens,Hope,1
10.1016/j.ijantimicag.2007.10.001,Safety of a weekly high dose of liposomal amphotericin B for prophylaxis of invasive fungal infection in immunocompromised patients: PROPHYSOME Study,Cordonnier,1
10.1086/323335,Defining Opportunistic Invasive Fungal Infections in Immunocompromised Patients with Cancer and Hematopoietic Stem Cell Transplants: An International Consensus,Ascioglu,1
10.1016/0732-8893(93)90020-8,Lysis—centrifugation blood cultures in the detection of tissue-proven invasive candidiasis disseminated versus single-organ infection,Berenguer,1
10.3109/08880019209018337,Conventional vs. Liposomal Amphotericin B in Immunosuppressed Children,Zoubek,1
10.1093/clinids/11.supplement_7.s1605,New Methods for Delivery of Antifungal Agents,Meunier,1
10.1128/aac.45.12.3487-3496.2001,"Safety, Tolerance, and Pharmacokinetics of High-Dose Liposomal Amphotericin B (AmBisome) in Patients Infected with
            <i>Aspergillus</i>
            Species and Other Filamentous Fungi: Maximum Tolerated Dose Study",Walsh,1
10.1002/jps.2600830716,Decreased Toxicity of Liposomal Amphotericin B Due to Association of Amphotericin B with High‐Density Lipoproteins,Wasan,3
10.1016/0005-2760(90)90180-6,Effect of lipid composition on the transfer of sterols mediated by non-specific lipid transfer protein (sterol carrier protein2),Billheimer,1
10.1016/s0165-6147(96)01012-7,Amphotericin B: new life for an old drug,Hartsel,1
10.1093/clinids/12.2.308,Amphotericin B: 30 Years of Clinical Experience,Gallis,1
10.1016/0304-4157(86)90002-x,How do the polyene macrolide antibiotics affect the cellular membrane properties?,Bolard,1
10.1128/iai.14.1.315-317.1976,Inhibition of human neutrophil chemotaxis and chemiluminescence by amphotericin B,Björkstén,1
10.1086/317451,"A Randomized, Double-Blind Comparative Trial Evaluating the Safety of Liposomal Amphotericin B versus Amphotericin B Lipid Complex in the Empirical Treatment of Febrile Neutropenia",Wingard,1
10.1128/aac.42.12.3146,"Pharmacokinetics, Distribution in Serum Lipoproteins and Tissues, and Renal Toxicities of Amphotericin B and Amphotericin B Lipid Complex in a Hypercholesterolemic Rabbit Model: Single-Dose Studies",Wasan,1
10.1128/aac.38.9.2224,Concentrations in serum and distribution in tissue of free and liposomal amphotericin B in rats during continuous intralipid infusion,Wasan,1
10.1016/0005-2736(73)90143-0,The asymmetric distribution of phospholipids in the human red cell membrane. A combined study using phospholipases and freeze-etch electron microscopy,Verkleij,1
10.1016/0009-8981(69)90349-0,Quantitative two-dimensional thin-layer chromatography of blood phospholipids,Broekhuyse,1
10.1128/aac.00090-17,Experimental Models of Short Courses of Liposomal Amphotericin B for Induction Therapy for Cryptococcal Meningitis,Lestner,1
10.1097/qco.0b013e32832fa214,Treatment of cryptococcal meningitis in resource limited settings,Sloan,1
10.1086/507895,Symptomatic Relapse of HIV‐Associated Cryptococcal Meningitis after Initial Fluconazole Monotherapy: The Role of Fluconazole Resistance and Immune Reconstitution,Bicanic,1
10.1093/clinids/24.2.131,"Cryptococcal Meningitis in Durban, South Africa: A Comparison of Clinical Features, Laboratory Findings, and Outcome for Human Immunodeficiency Virus (HIV)-Positive and HIV-Negative Patients",Moosa,1
10.1083/jcb.45.3.649,DEMONSTRATION OF THE OUTER SURFACE OF FREEZE-ETCHED RED BLOOD CELL MEMBRANES,Tillack,1
10.1128/jcm.32.9.2307-2308.1994,Effect of potential interference factors on performance of enzyme immunoassay and latex agglutination assay for cryptococcal antigen,Engler,1
10.1128/aac.01427-16,Population Pharmacokinetics of Liposomal Amphotericin B in Immunocompromised Children,Lestner,1
10.1016/0005-2736(92)90015-e,Structures of amphotericin B-cholesterol complex,Khutorsky,1
10.1063/1.431502,Benzene dimer: A polar molecule,Janda,1
10.1063/1.1674245,Dipole Moment and Hyperfine Parameters of H<sup>35</sup>Cl and D<sup>35</sup>Cl,Kaiser,1
